uniqueID;Spec;Plotname;DBH;CBH1;CBH2;CD1;CD2;meanCD;State;SpecGroup;Height;realX;realY;realZ
BR01_670;PicAbi;BR01;20,8;0,8;1,8;4,5;5,1;4,8;alive;Coniferous;15,778;476760,2905;5429043,146;262,80925
BR01_672;QuePet;BR01;17,9;4,6;10,7;6,1;6,7;6,4;alive;Broad-leaved;17,109;476757,1558;5429044,272;261,965332
BR01_673;QuePet;BR01;10,4;7,1;11;2,8;3,1;2,95;alive;Broad-leaved;12,402;476755,906;5429045,214;261,64682
BR01_674;FagSyl;BR01;50,1;4,5;4,5;12,2;10,9;11,55;alive;Broad-leaved;30,661;476753,6015;5429040,548;261,684937
BR01_675;CarBet;BR01;6,9;3,1;3,1;6,4;6,5;6,45;alive;Broad-leaved;7,25697297;476750,6162;5429038,555;261,41
BR01_676;PicAbi;BR01;19,3;0,5;6,9;4,1;4,9;4,5;alive;Coniferous;18,719;476748,598;5429050,585;259,731812
BR01_677;QuePet;BR01;12,5;2,3;13;3,3;2,8;3,05;alive;Broad-leaved;14,67;476751,2658;5429049,362;260,397766
BR01_678;PicAbi;BR01;17,9;1;4,9;3,8;3,7;3,75;alive;Coniferous;16,861;476752,1588;5429048,597;260,717255
BR01_680;PicAbi;BR01;18,7;1,6;6,3;4,2;3,6;3,9;alive;Coniferous;16,7510982;476746,527;5429047,219;259,86
BR01_681;SalCap;BR01;24,6;1,6;9;6,4;9,2;7,8;alive;Broad-leaved;21,05651336;476751,034;5429043,796;260,824615
BR01_682;CarBet;BR01;8,7;1,7;3,4;5,1;5,4;5,25;alive;Broad-leaved;9,798;476752,4598;5429042,582;261,321381
BR01_683;CarBet;BR01;6,5;2,1;2,1;5,5;5,6;5,55;alive;Broad-leaved;10,861;476750,1423;5429040,136;261,151428
BR01_684;FagSyl;BR01;25,3;0,3;0,3;8;7,9;7,95;alive;Broad-leaved;19,258;476736,951;5429014,618;261,44
BR01_686;QuePet;BR01;37,9;6,5;6,5;7,8;8,4;8,1;alive;Broad-leaved;27,79242377;476743,8549;5429007,65;263,62
BR01_687;FagSyl;BR01;25,9;1,2;1,2;8,5;7,3;7,9;alive;Broad-leaved;20,634;476744,47;5429011,87;263,225
BR01_688;FagSyl;BR01;28,6;0,2;0,2;8,6;7,8;8,2;alive;Broad-leaved;23,77978675;476747,8317;5429009,745;264,16
BR01_689;FagSyl;BR01;44;6,8;6,8;10,4;11,7;11,05;alive;Broad-leaved;30,262;476743,411;5429017,059;262,527985
BR01_690;FagSyl;BR01;43,6;13,3;13,3;12,4;9,8;11,1;alive;Broad-leaved;30,548;476750,468;5429018,612;263,464813
BR01_691;FagSyl;BR01;21,9;0,7;0,7;6,3;8,7;7,5;alive;Broad-leaved;20,65802298;476742,6212;5429018,889;262,25
BR01_692;CarBet;BR01;6,7;1,1;1,1;6,6;4,5;5,55;alive;Broad-leaved;7,057554359;476752,0597;5429024,261;263,1
BR01_693;CarBet;BR01;16,7;1,7;1,7;7,1;9,5;8,3;alive;Broad-leaved;14,87440362;476749,9315;5429025,604;262,69
BR01_694;FagSyl;BR01;34,7;2,1;2,1;11,2;13;12,1;alive;Broad-leaved;20,02;476745,572;5429028,886;261,636597
BR01_695;FagSyl;BR01;33,7;0,8;0,8;9,5;9,4;9,45;alive;Broad-leaved;22,512;476737,005;5429026,312;260,4039
BR01_696;CarBet;BR01;5;0,7;0,7;3,5;3,5;3,5;alive;Broad-leaved;5,311589287;476735,6485;5429024,529;260,25
BR01_698;PseMen;BR01;30,8;11;11;6,3;5,5;5,9;alive;Coniferous;23,004;476772,8545;5429087,498;260,597626
BR01_699;FagSyl;BR01;5,1;4,3;4,3;3,1;5;4,05;alive;Broad-leaved;6,077994779;476769,8301;5429088,665;259,8
BR01_7;CarBet;BR01;6;1,5;1,5;4,07;5,52;4,795;alive;Broad-leaved;6,348243838;476721,9043;5429018,177;258,28
BR01_70;PicAbi;BR01;16,1;0,3;5,7;3,4;3,5;3,45;alive;Coniferous;12,245;476765,4283;5429083,542;259,819641
BR01_700;FagSyl;BR01;5,4;2,8;4,1;2,9;3,3;3,1;alive;Broad-leaved;6,446230121;476770,4692;5429088,133;260,03
BR01_701;FagSyl;BR01;5,1;5,1;5,1;4,2;4;4,1;alive;Broad-leaved;6,077994779;476770,3777;5429088,942;259,85
BR01_702;FagSyl;BR01;5,3;2,5;2,5;4;3,3;3,65;alive;Broad-leaved;6,323610679;476770,4211;5429089,14;259,85
